unique_identifier,amount,date
BA0046,9775708.71,2025-06-05
BA0047,-3940741.19,2025-06-05
BA0048,-5840303.81,2025-06-05
BA0050,-4393628.34,2025-06-05
BA0051,2444331.35,2025-06-05
BA0052,-3216714.41,2025-06-05
BA0053,-6154678.28,2025-06-05
BA0054,1093004.64,2025-06-05
BA0055,3707215.14,2025-06-05
BA0057,-1255504.55,2025-06-05
BA0058,7629758.83,2025-06-05
BA0060,2272740.45,2025-06-05
BA0062,1161166.17,2025-06-05
BA0063,-2830898.43,2025-06-05
BA0064,-8546250.30,2025-06-05
BA0065,7604386.19,2025-06-05
BA0066,2487132.58,2025-06-05
BA0067,1735750.37,2025-06-05
BA0069,8393532.73,2025-06-05
BA0071,9932084.70,2025-06-05
BA0074,5631107.49,2025-06-05
BA0075,8774730.42,2025-06-05
BA0077,9787963.05,2025-06-05
BA0078,-3340543.79,2025-06-05
BA0079,-1441598.64,2025-06-05
BA0080,-1626153.36,2025-06-05
BA0081,-6317405.20,2025-06-05
BA0082,2178092.43,2025-06-05
BA0083,-7943672.31,2025-06-05
BA0084,5960975.51,2025-06-05
BA0086,-3903646.13,2025-06-05
BA0087,4251655.20,2025-06-05
BA0088,7614898.29,2025-06-05
BA0089,-8740178.35,2025-06-05
BA0090,-7237391.25,2025-06-05
BA0091,-8065720.32,2025-06-05
BA0092,-5711449.45,2025-06-05
BA0094,8004168.57,2025-06-05
BA0098,-3948423.36,2025-06-05
BA0099,3187211.63,2025-06-05
BB0111,1570570.04,2025-06-05
BB0112,-3309956.05,2025-06-05
BB0113,-193738.15,2025-06-05
BB0114,-7642246.72,2025-06-05
BB0115,-5948528.15,2025-06-05
BB0116,-8354178.06,2025-06-05
BB0117,-3360972.51,2025-06-05
BB0118,-5113171.44,2025-06-05
BB0119,3958799.89,2025-06-05
BB0120,-2328575.98,2025-06-05
